fid,geoc_maj,etage,ty_couv_et,densite,hauteur,cl_age_et,eta_ess_pc
"1","-579743,27+252604,88",SUP,F,"85","18",JIN,CR30ES30EO20PE10RX10
"2","-579864,17+252826,67",SUP,MM,"55","21",JIN,SB30TO20PE30EO20
"3","-579927,46+251967,72",SUP,MF,"65","22",JIN,PE40EO10ES10SB20TO20
"4","-579953,46+252111,91",SUP,F,"85","16",JIN,CR30ES30EO10PE10RX10SB10
"5","-579954,14+251610,72",SUP,MF,"65","24",VIN,PE40BP20EO10TO30
"6","-579965,30+251127,60",SUP,MF,"85","18",VIN,FO40PE20TO30SB10
"7","-579989,53+251878,64",SUP,MM,"25","18",JIN,TO30SB20PE30BP10ER10
"8","-579992,27+253166,04",SUP,MF,"65","26","70",PE50BP10PB20SB20
"9","-580005,48+252945,13",INF,R,"55","8","30",SB50TO30EB10EO10
"10","-580005,48+252945,13",SUP,MM,"25","29","90",PB30PR20PE50
"11","-580062,58+250304,17",SUP,MF,"75","20",JIN,CR50PE20PB20SE10
"12","-580069,24+250898,20",SUP,MR,"55","17",JIN,SB30TO30ES20EO10PE10
"13","-580071,07+251385,47",SUP,MF,"65","23",JIN,ES40PE20EO10SB20RX10
"14","-580090,64+250525,50",SUP,MM,"75","22",VIN,PB30PR10RX10CR30ER10FT10
"15","-580118,73+252581,54",SUP,F,"75","20",JIN,PE30CR20ES20EO10RX10SB10
"16","-580130,79+249573,70",INF,F,"65","16","70",CR50ER30FT10SB10
"17","-580130,79+249573,70",SUP,R,"25","30","90",PB90PE10
"18","-580180,43+251631,20",SUP,MF,"55","17",JIN,EO20FO20PE20BJ10SB20TO10
"19","-580190,03+251266,47",SUP,F,"65","20",JIN,CR40ES20FT10PE10TA10SB10
"20","-580216,76+249892,41",SUP,MF,"75","23",JIN,CR30EO10ES10FT10PE10PB30
"21","-580224,01+247862,14",SUP,MM,"75","24",VIN,PB20SB20PU10PE40ER10
"22","-580263,78+250579,15",SUP,MF,"65","22",JIN,PE30EO10ES10FT10SB20TO20
"23","-580275,85+251187,82",SUP,MF,"35","15",JIN,PE50BP10SB30TO10
"24","-580277,99+253079,57",SUP,F,"85","25","90",PE70EO10FT10RX10
"25","-580289,00+249442,10",SUP,MM,"75","23",VIN,PB30PR10SB10CR20EO10ES10PE10
"26","-580296,82+250263,08",SUP,MF,"85","19",JIN,CR40ER10FT10PB40
"27","-580298,58+249662,65",INF,F,"65","16","70",CR50ER30FT10SB10
"28","-580298,58+249662,65",SUP,R,"25","30","90",PB90PE10
"29","-580302,37+249817,11",SUP,F,"85","18",JIN,CR40PE20EO10ES10PB10SB10
"30","-580304,20+252686,34",SUP,MR,"35","13",JIN,SB30TO30EO20PE20
"31","-580315,08+252120,98",SUP,F,"65","29","70",PE80RX10SB10
"32","-580324,65+248793,76",SUP,R,"35","27","70",PB80TO10FI10
"33","-580336,74+248222,87",SUP,F,"85","20",JIN,CR30ES30FT10PE10TA10RX10
"34","-580373,19+252310,19",SUP,F,"75","15",JIN,CR30ES30EO20RX10SB10
"35","-580375,05+248449,13",SUP,MF,"65","28","90",PE50EO20SB20TO10
"36","-580382,63+246241,51",SUP,R,"35","13",JIN,SB40EB30PI10PE20
"37","-580383,77+247992,78",SUP,F,"85","20",JIN,CR30FT20PE20ER10RX10SB10
"38","-580406,86+252044,69",SUP,MF,"75","13","30",PE70SB20RX10
"39","-580411,37+252889,30",SUP,R,"65","14",JIN,SB60TO20RX10PE10
"40","-580412,11+249579,03",INF,F,"65","16","70",CR50ER30FT10SB10
"41","-580412,11+249579,03",SUP,R,"25","30","90",PB90PE10
"42","-580412,31+251589,92",SUP,MR,"95","21",JIN,PU40PB10SB10FT20PE20
"43","-580416,01+247699,11",SUP,F,"55","15",JIN,PE50ES20EO10FT10SB10
"44","-580423,77+249328,74",SUP,F,"75","23",JIN,EO20ES20PE20BJ10TA10RX10SB10
"45","-580443,42+250076,68",SUP,F,"75","17",JIN,ES30CR20PE20EO10RX10SB10
"46","-580465,40+250567,87",SUP,F,"85","21",JIN,PE30EO20FT20BP10PB10RX10
"47","-580467,02+247181,85",SUP,F,"55","19",JIN,PE40EO30BP10SB20
"48","-580469,65+247895,72",SUP,MR,"65","23",JIN,PB50PR10CR20PE20
"49","-580481,89+249713,60",INF,F,"65","16","70",CR50ER30FT10SB10
"50","-580481,89+249713,60",SUP,R,"25","30","90",PB90PE10
"51","-580487,66+250974,53",SUP,MR,"75","16",JIN,PU20EB10PB10SB10TO10ER20FI20
"52","-580502,30+251208,86",SUP,R,"55","15",JIN,SB30EB20TO20PU10EO10FI10
"53","-580533,16+250147,28",SUP,F,"85","23","90",PE60FT20PB10RX10
"54","-580533,92+249037,05",SUP,MF,"65","27","120",PE50FO10PB20SE10TO10
"55","-580554,07+252360,16",SUP,MF,"65","22",VIN,PE40EO20FT10PB10RX10SB10
"56","-580560,52+251606,39",SUP,F,"85","18",JIN,CR40ER20FT10PE10TA10RX10
"57","-580570,55+247628,20",SUP,F,"85","13","30",PE60ER20FT20
"58","-580585,57+246513,60",SUP,MF,"65","21",JIN,BP20EO20BJ10PE10SB30RX10
"59","-580591,26+249487,48",SUP,MR,"65","23","90",PB40PR10SE10ER20PE20
"60","-580612,60+247957,31",SUP,MR,"65","23",JIN,PB50PR10CR20PE20
"61","-580621,33+252894,85",SUP,F,"95","28","90",PE80EO10RX10
"62","-580621,94+245606,00",SUP,R,"55","16",JIN,TO40SB30RX10BP20
"63","-580655,50+252407,34",SUP,MF,"45","17",JIN,PE40BJ10FH10SB20RX10TO10
"64","-580663,90+247160,30",SUP,R,"45","15",JIN,SB80EB10PI10
"65","-580686,71+248964,83",SUP,MF,"65","17","50",FO40PE20EO10RX10SB10TO10
"66","-580689,99+242914,06",INF,F,"55","7","30",PE90BP10
"67","-580689,99+242914,06",SUP,MM,"35","17",JIN,TO30SB20ES20EO10FH10PE10
"68","-580694,40+246543,46",SUP,F,"65","14",JIN,FO60PE20SB20
"69","-580697,41+248560,05",SUP,F,"85","27",VIN,PE70EO10FT10RX10
"70","-580698,99+253481,31",SUP,R,"85","16",VIN,TO50SB30FO10PE10
"71","-580706,84+250732,96",SUP,R,"85","18",VIN,TO40PU30SE10EO10FI10
