fid,geoc_maj,etage,ty_couv_et,densite,hauteur,cl_age_et,eta_ess_pc
"28825","+255195,70+563450,45",SUP,R,"75","16",VIN,EB50SB40BP10
"28826","+255197,29+569847,63",SUP,R,"95","19","90",SB80EB20
"28827","+255199,89+568843,46",SUP,R,"55","17",VIN,SB50EB40TO10
"28828","+255201,57+578069,96",SUP,MR,,"1","10",RZFX
"28829","+255201,75+569280,32",SUP,R,"75","11",JIN,SB60EB30BP10
"28830","+255202,66+577067,01",SUP,R,,"1","10",RZ
"28831","+255202,87+572940,20",SUP,MR,"75","8","30",SB50EB20BP20FN10
"28832","+255206,11+572163,48",SUP,MM,"85","13","50",SB40EB10BP40FN10
"28833","+255206,31+573938,18",SUP,R,"85","18","90",SB70EB20BP10
"28834","+255211,76+573308,69",SUP,MR,"65","5","10",RX70FX20FN10
"28835","+255212,45+573164,54",SUP,MR,"65","5","10",RX70FX20FN10
"28836","+255213,85+561804,04",SUP,MR,,"3","10",RXFX
"28837","+255219,30+581935,96",SUP,MF,"75","6","10",FX60FN10RZ30
"28838","+255225,44+565222,36",SUP,R,"75","17","70",SB60EB20BP20
"28839","+255225,57+580994,03",SUP,R,"85","17","70",SB60EB30BP10
"28840","+255225,90+562537,76",SUP,R,"75","19",VIN,SB50EB40BP10
"28841","+255226,15+570159,82",SUP,R,"85","19","90",SB70EB30
"28842","+255244,55+565286,08",SUP,R,"55","7","10",SB80EB20
"28843","+255250,03+573282,43",SUP,MR,"65","5","10",RX70FX20FN10
"28844","+255251,33+571883,95",SUP,MR,"85","9","30",SB50EB10BP30FN10
"28845","+255251,87+562582,19",SUP,R,"75","15","50",SB80EB10BP10
"28846","+255256,03+568585,88",SUP,R,"55","17",VIN,SB50EB40TO10
"28847","+255258,78+573204,27",SUP,MR,"65","5","10",RX70FX20FN10
"28848","+255258,87+572783,79",SUP,MR,"75","4","10",RX60FX30FN10
"28849","+255259,20+571375,70",SUP,MR,"85","12","50",SB50EB10BP20EO10PT10
"28850","+255265,07+570720,59",SUP,MR,"65","12","50",SB40EB10TO10PT20BP10EO10
"28851","+255269,31+578176,99",SUP,R,,"1","10",RZ
"28852","+255274,67+572600,79",SUP,R,"75","17",VIN,SB60EB30BP10
"28853","+255275,74+575051,23",SUP,R,"75","16",VIN,SB50EB40BP10
"28854","+255279,55+568694,57",SUP,R,"55","17",VIN,SB50EB40TO10
"28855","+255283,11+577361,64",SUP,R,,"1","10",RZ
"28856","+255284,51+563896,30",SUP,R,"65","16",VIN,SB60EB30EN10
"28857","+255287,92+567470,99",SUP,MF,"75","5","10",FX50FN10RX40
"28858","+255290,49+575548,94",SUP,R,"85","14","50",SB60EB20BP20
"28859","+255291,24+565407,02",SUP,R,,"1","10",RZ
"28860","+255296,78+578204,25",SUP,R,,"1","10",RZ
"28861","+255298,13+573476,14",SUP,R,"85","19","90",SB70EB20BP10
"28862","+255298,64+574655,38",SUP,MR,"75","15","50",SB50EB20BP30
"28863","+255300,12+571479,23",SUP,F,"75","4","10",FX70FN20RX10
"28864","+255301,06+572483,18",SUP,R,"65","10","30",SB70EB10BP20
"28865","+255301,14+579720,37",SUP,R,"75","17",VIN,SB60EN20EB10BP10
"28866","+255301,92+571577,83",SUP,R,,"2","10",RZ
"28867","+255303,34+576919,64",SUP,R,"75","15",VIN,SB50EN40EB10
"28868","+255306,00+584301,58",SUP,MR,"65","12",JIN,SB40EB20BP10EO10FN10PE10
"28869","+255308,46+572891,85",SUP,MR,"75","4","10",RX60FX30FN10
"28870","+255314,24+564036,20",SUP,MR,"75","6","10",RX60FN30FX10
"28871","+255318,02+565558,52",SUP,R,"75","13","50",SB70EB20BP10
"28872","+255319,27+562390,87",SUP,R,"75","15","50",SB80EB10BP10
"28873","+255321,07+564387,56",SUP,R,"45","4","10",RZ100
"28874","+255322,64+583830,19",SUP,MF,"85","11","30",BP30EO20FN10PE10SB20EB10
"28875","+255322,69+569360,40",SUP,R,"95","19","90",SB80EB20
"28876","+255325,02+577534,34",SUP,R,"85","14","50",SB60EB30BP10
"28877","+255326,00+566711,80",SUP,R,,"3","10",RZ
"28878","+255327,54+567793,53",SUP,MR,"65","4","10",RX70FX20FN10
"28879","+255331,71+565334,02",SUP,R,,"1","10",RZ
"28880","+255333,40+568819,35",SUP,R,"55","17",VIN,SB50EB40TO10
"28881","+255334,26+571513,28",SUP,R,,"2","10",RZ
"28882","+255334,68+570838,47",SUP,MR,"65","12","50",SB40EB10TO10PT20BP10EO10
"28883","+255337,18+564199,81",SUP,R,"55","15",VIN,EN60SB40
"28884","+255337,34+573768,98",SUP,R,"75","16","70",SB60EB20BP20
"28885","+255344,22+562038,16",SUP,MF,"75","13","50",BP60SB30EB10
"28886","+255344,92+583397,86",SUP,MF,"65","13",JIN,BP40EO20FN10SB20EB10
"28887","+255350,13+584602,99",SUP,MF,"75","15","50",BP30PE30EO10SB20EB10
"28888","+255350,28+573052,48",SUP,R,"75","14","50",SB60EB20BP10FN10
"28889","+255350,86+574426,29",SUP,R,"75","16",VIN,SB50EN20EB10BP20
"28890","+255351,95+578550,58",SUP,MR,"85","15","50",SB50EB20BP20FN10
"28891","+255359,56+568524,74",SUP,R,"55","17",VIN,SB50EB40TO10
"28892","+255360,52+573007,58",SUP,MF,"85","12","50",BP50FN10SB30EB10
"28893","+255362,85+576982,29",SUP,R,,"1","10",RZ
"28894","+255364,33+566041,06",SUP,R,"55","7","30",SB80EB20
"28895","+255367,90+582722,25",SUP,MR,"85","16","70",SB40EB20BP20EO20
"28896","+255368,54+564613,54",SUP,R,"55","6","10",RX100
"28897","+255369,65+569996,82",SUP,R,"65","17",VIN,SB60TO30EB10
"28898","+255371,93+581210,61",SUP,MR,"65","14","50",SB40EB20BP20EO10FN10
"28899","+255374,34+564336,96",SUP,R,"55","6","10",RX100
"28900","+255375,95+568746,64",SUP,R,"55","17",VIN,SB50EB40TO10
"28901","+255376,92+583853,96",SUP,R,"65","7","10",SB70EB20BP10
"28902","+255379,17+565286,39",SUP,R,"55","7","10",SB80EB20
"28903","+255379,83+569517,96",SUP,R,"95","19","90",SB80EB20
"28904","+255383,01+569031,38",SUP,R,"75","11",JIN,SB60EB30BP10
"28905","+255386,30+580796,67",SUP,MR,"85","14",JIN,SB40EB20EO20BP10FN10
"28906","+255389,55+565249,89",SUP,R,"75","17","70",SB60EB20BP20
"28907","+255393,36+571752,91",SUP,R,"45","17",VIN,SB50EB30TO10BP10
"28908","+255395,39+571173,90",SUP,R,"75","16",VIN,TO60SB30EB10
"28909","+255398,63+567913,61",SUP,MR,"65","4","10",RX70FX20FN10
"28910","+255399,36+579839,46",SUP,MR,"75","13",JIN,SB50EB20BP10EO10FN10
"28911","+255400,80+578185,05",SUP,R,,"1","10",RZ
"28912","+255403,51+581101,44",SUP,R,"85","17","70",SB60EB30BP10
"28913","+255410,91+580058,79",SUP,MF,"65","6","10",FX50FN10RZ30RX10
"28914","+255411,27+564905,58",SUP,R,"75","16",VIN,EB60SB40
"28915","+255413,92+579536,75",SUP,R,"85","17",VIN,SB60EB30BP10
"28916","+255416,52+584954,00",SUP,MF,"65","4","10",FX60FN10RX30
"28917","+255428,80+577312,82",SUP,R,,"1","10",RZ
"28918","+255432,09+563368,18",SUP,R,"85","15","50",SB70EB20BP10
"28919","+255433,27+563056,77",SUP,R,"95","15","50",SB80EB10BP10
"28920","+255437,94+562084,37",SUP,R,"85","14","50",SB70EB20BP10
"28921","+255442,57+568924,46",SUP,R,"65","16",VIN,SB50EB20TO10BP20
"28922","+255445,12+567180,01",SUP,MR,"75","13",JIN,SB50EB20BP30
"28923","+255448,27+582127,34",SUP,MR,"95","15","70",SB50EB20BP20EO10
"28924","+255448,29+581601,60",SUP,MR,"75","13",JIN,SB40EB20BP10EO10FN10PE10
"28925","+255450,90+575106,81",SUP,MF,"75","14","50",BP50FN10SB30EB10
"28926","+255456,50+569770,59",SUP,R,"65","18","90",SB60EB30PT10
"28927","+255458,61+567943,95",SUP,MR,"65","4","10",RX70FX20FN10
"28928","+255460,24+583251,58",SUP,MM,"75","15","70",SB30EB20BP30EO20
"28929","+255464,23+572309,76",SUP,R,,"2","10",RZ
"28930","+255466,38+562626,34",SUP,R,"75","15","50",SB80EB10BP10
"28931","+255472,25+572028,99",SUP,R,"65","4","10",RX80FN10FX10
"28932","+255472,61+582796,63",SUP,F,"75","5","10",FX70FN10RX20
"28933","+255475,88+581378,47",SUP,R,"75","17","70",SB50EB30BP10EO10
"28934","+255476,14+573637,52",SUP,R,"75","17",VIN,SB60EB30BP10
"28935","+255477,91+570693,70",SUP,R,"75","16",VIN,TO60SB30EB10
"28936","+255478,90+576861,77",SUP,R,"85","14","50",SB70EB20BP10
"28937","+255478,94+569451,63",SUP,R,"95","19","90",SB80EB20
"28938","+255479,41+561859,79",SUP,R,"85","14","50",SB70EB20BP10
"28939","+255479,85+565027,76",SUP,R,"95","13","50",SB80EB10BP10
"28940","+255481,36+579132,52",SUP,R,"65","4","10",RZ80FX20
"28941","+255484,90+574896,88",SUP,R,"85","15","50",SB60EB30BP10
"28942","+255488,22+577124,21",SUP,R,,"1","10",RZ
"28943","+255488,88+571276,35",SUP,R,"75","16",VIN,TO70SB20EN10
"28944","+255489,21+581247,55",SUP,R,"75","17","70",SB50EB30BP10EO10
"28945","+255490,38+584023,29",SUP,R,"85","16","70",SB50EB30BP10EO10
"28946","+255495,31+577083,27",SUP,R,,"1","10",RZ
"28947","+255497,93+575264,64",SUP,R,"75","15",JIN,SB50EB30BP20
"28948","+255500,90+569885,90",SUP,R,"65","18","90",SB60EB30PT10
"28949","+255501,69+572629,00",SUP,R,"85","16","70",SB70EB20BP10
"28950","+255501,88+576447,18",SUP,R,"55","4","10",RX50RZ30FX20
"28951","+255503,00+567752,07",SUP,R,"65","17",VIN,SB50EB40BP10
"28952","+255503,44+582711,92",SUP,F,"75","5","10",FX70FN10RX20
"28953","+255505,97+583048,26",SUP,MR,"75","16","70",SB40EB30BP20EO10
"28954","+255506,06+561848,04",SUP,MR,"85","13",JIN,SB40EB20BP30FN10
"28955","+255508,39+564008,50",SUP,R,"85","14","50",SB90EB10
"28956","+255509,78+568444,94",SUP,MF,"75","5","30",FX50FN10RX40
"28957","+255512,22+584377,39",SUP,F,"75","15","50",BP30PE30EO10FN10EB10SB10
"28958","+255512,32+581819,20",SUP,R,"65","18","90",SB60EN20EB10FI10
"28959","+255516,03+571473,60",SUP,R,"75","16",VIN,TO60SB30EB10
"28960","+255519,71+583581,51",SUP,F,"85","18","90",BP50EO20ES10EB10SB10
"28961","+255527,21+571845,35",SUP,R,,"2","10",RZ
"28962","+255527,93+569692,94",SUP,R,"75","11",JIN,SB60EB30BP10
"28963","+255530,53+581119,07",SUP,R,"75","17","70",SB50EB30BP10EO10
"28964","+255534,51+576589,00",SUP,R,"65","15",VIN,SB50EN30EB10BP10
"28965","+255535,22+562703,08",SUP,MM,"95","13","50",SB40EB10BP50
"28966","+255536,71+568523,85",SUP,R,"65","19","90",SB60EB20BP10EO10
"28967","+255538,15+566583,57",SUP,MR,"85","13","50",SB50EB10BP30FN10
"28968","+255540,25+580614,18",SUP,R,"75","17",VIN,SB60EB20BP20
"28969","+255543,58+569293,84",SUP,R,"75","17",VIN,SB70EB20BP10
"28970","+255544,00+580227,50",SUP,R,"75","17","70",SB60EB20BP10EO10
"28971","+255544,39+581906,16",SUP,MR,"55","5","10",RX70FX20FN10
"28972","+255547,69+584894,22",SUP,F,"65","17",JIN,PE60BP20EO10SE10
"28973","+255547,98+575886,60",SUP,MR,"75","16","70",SB40EB30BP30
"28974","+255552,03+571013,32",SUP,MF,,"3","10",FXRX
"28975","+255555,36+581717,75",SUP,MF,"75","6","10",FX60FN10RZ30
"28976","+255555,68+580995,61",SUP,R,"85","17","70",SB60EB30BP10
"28977","+255559,86+574130,81",SUP,MR,"85","16","70",SB50EB20BP30
"28978","+255563,12+572200,61",SUP,R,"45","14",VIN,TO60SB40
"28979","+255563,41+570209,75",SUP,R,"35","4","10",RX80FN10FX10
"28980","+255565,45+570438,19",SUP,R,"65","7","30",SB60EB20BP10FN10
"28981","+255565,68+584543,59",SUP,F,"85","14","50",BP60EO10FN10PE10SE10
"28982","+255569,10+574770,00",SUP,MR,"65","5","10",RX60FX30FN10
"28983","+255570,47+565439,13",SUP,R,"95","14","50",SB60EB30BP10
"28984","+255576,87+561996,97",SUP,R,"85","14","50",SB70EB20BP10
"28985","+255576,93+572758,07",SUP,MR,"75","14","50",SB40EB20BP40
"28986","+255580,95+580395,07",SUP,MR,"85","15","50",SB50EB20BP20EO10
"28987","+255583,88+578718,53",SUP,R,"85","16",VIN,SB50EB30BP10EO10
"28988","+255585,26+566307,02",SUP,R,"75","17",VIN,SB60EB30BP10
"28989","+255587,74+567287,73",SUP,R,"65","17",VIN,SB60EB30BP10
"28990","+255589,83+566004,65",SUP,R,"75","17",VIN,SB60EB40
"28991","+255591,09+577627,13",SUP,MR,,"1","10",RZFX
"28992","+255591,97+567812,96",SUP,R,"65","17",VIN,SB50EB40BP10
"28993","+255594,85+582448,39",SUP,R,"65","17","70",SB60EB20BP10PE10
"28994","+255597,04+569655,79",SUP,R,"95","19","90",SB80EB20
"28995","+255598,96+567159,14",SUP,MR,"75","13",JIN,SB50EB20BP30
"28996","+255599,58+569235,59",SUP,R,"75","16",VIN,SB60EB30BP10
"28997","+255601,52+565879,70",SUP,R,"55","5","10",RX80FN10FX10
"28998","+255603,85+578910,13",SUP,F,"85","8","30",BP50EO20FN10EB10SB10
"28999","+255608,42+568892,48",SUP,R,"65","16",VIN,SB50EB20TO10BP20
"29000","+255609,38+573249,40",SUP,MM,"85","15","70",SB30EB20BP50
"29001","+255609,71+562128,90",SUP,MF,"45","4","10",FN50FX20RX30
"29002","+255609,97+562344,65",SUP,R,"75","15","50",SB80EB10BP10
"29003","+255613,80+577208,21",SUP,R,"65","16",VIN,EN60SB40
"29004","+255615,56+584173,88",SUP,MF,"75","12","50",BP40EO10FN10PE10SB20EB10
"29005","+255616,95+571728,96",SUP,MR,"85","15","50",SB60EB10BP20EO10
"29006","+255617,02+574701,79",SUP,MR,"65","5","10",RX60FX30FN10
"29007","+255618,62+570100,41",SUP,R,"55","17",VIN,SB50EB20TO20BP10
"29008","+255619,60+569951,92",SUP,R,"75","17",VIN,SB70EB20TO10
"29009","+255620,27+572501,48",SUP,MR,,"2","10",RZFX
"29010","+255620,49+563779,64",SUP,R,"85","16",VIN,SB60EB30BP10
"29011","+255621,21+573122,59",SUP,MM,"75","6","10",RX50FX40FN10
"29012","+255624,11+567992,66",SUP,R,"65","17",VIN,SB50EB40BP10
"29013","+255624,17+577325,34",SUP,R,"95","14","50",SB70EB30
"29014","+255624,70+562536,31",SUP,MM,"75","14","50",SB40EB10BP50
"29015","+255625,86+577972,74",SUP,MR,,"1","10",RZFX
"29016","+255627,99+574802,34",SUP,R,"75","15","50",SB50EB30BP20
"29017","+255633,79+575369,51",SUP,MM,"85","15","50",SB40EB10BP40FN10
"29018","+255645,70+567577,11",SUP,R,"75","17",VIN,SB50EB20TO10BP20
"29019","+255646,75+563657,93",SUP,R,"65","17",VIN,SB50EB30BP20
"29020","+255646,87+567794,54",SUP,R,"65","15","50",SB60EB30BP10
"29021","+255647,59+581943,04",SUP,MM,"75","6","10",RX50FX40FN10
"29022","+255648,54+581319,41",SUP,MR,"75","15","50",SB50EB20BP10EO10PE10
"29023","+255649,47+563403,46",SUP,MM,"95","13","50",SB30EB20BP40FN10
"29024","+255651,85+562948,05",SUP,MR,"75","15","50",SB60EB10BP30
"29025","+255651,90+573098,56",SUP,MR,,"2","10",RZFX
"29026","+255653,10+566811,70",SUP,MR,"85","13","50",SB50EB10BP30FN10
"29027","+255660,13+576938,59",SUP,R,"85","14","50",SB60EB20BP20
"29028","+255660,83+578116,43",SUP,R,"65","17",VIN,SB60EB20EN10BP10
"29029","+255662,11+569793,93",SUP,R,"75","17",VIN,SB70EB20TO10
"29030","+255662,34+569698,67",SUP,R,"95","19","90",SB80EB20
"29031","+255662,56+579395,09",SUP,R,"65","4","10",RZ80FX20
"29032","+255662,85+580895,75",SUP,R,"85","17","70",SB60EB30BP10
"29033","+255664,15+578552,57",SUP,F,"85","5","10",FX80FN10RX10
"29034","+255667,67+569100,99",SUP,R,"65","16",VIN,SB50EB20TO10BP20
"29035","+255681,32+582222,50",SUP,MF,"65","6","10",FX60FN10RZ30
"29036","+255682,37+574639,55",SUP,MR,"65","5","10",RX60FX30FN10
"29037","+255689,00+564090,85",SUP,R,"55","6","10",RX90FN10
"29038","+255691,28+568602,19",SUP,R,"65","19","90",SB60EB20BP10EO10
"29039","+255694,05+565162,74",SUP,R,"55","5","10",RZ70RX20FX10
"29040","+255694,90+582966,49",SUP,MF,"75","17","90",BP50EO20SB20EB10
"29041","+255695,63+579616,82",SUP,MR,"75","13",JIN,SB50EB20BP10EO10FN10
"29042","+255700,88+574925,21",SUP,MF,"75","6","10",FX60FN10RX30
"29043","+255706,77+561666,61",SUP,MR,"85","13",JIN,SB40EB20BP30FN10
"29044","+255707,35+568688,96",SUP,R,"65","17",VIN,SB50EB30TO10BP10
"29045","+255708,57+571005,34",SUP,MR,"55","4","10",RX60FX30FN10
"29046","+255711,99+565031,36",SUP,R,"85","13","50",SB70EB20BP10
"29047","+255713,90+581047,83",SUP,R,"85","17","70",SB60EB30BP10
"29048","+255715,70+572950,90",SUP,R,"75","15",VIN,SB60EB30BP10
"29049","+255715,96+584860,48",SUP,R,"85","9","30",RZ70RX10FN10FX10
"29050","+255716,11+564560,73",SUP,R,"55","17",VIN,EB60SB40
"29051","+255717,46+567184,92",SUP,R,"85","17","90",SB70EB20BP10
"29052","+255719,09+570553,55",SUP,R,"35","4","10",RX80FN10FX10
"29053","+255730,45+566620,89",SUP,MR,,"3","10",RXRZFN
"29054","+255733,53+562488,78",SUP,R,"95","14","50",SB70EB20BP10
"29055","+255733,76+576084,37",SUP,R,"85","14","50",SB60EB20BP20
"29056","+255739,73+581114,09",SUP,R,"75","17","70",SB50EB30BP10EO10
"29057","+255749,30+568864,06",SUP,R,"65","16",VIN,SB50EB20TO10BP20
"29058","+255752,88+583646,41",SUP,F,"85","8","30",BP50EO10FN10PE10EB10SB10
"29059","+255756,71+578214,29",SUP,R,"85","13","50",SB60EB20BP10FN10
"29060","+255759,15+572560,04",SUP,R,"65","15",VIN,SB60EN30TO10
"29061","+255760,26+579175,97",SUP,R,"85","16",VIN,EB40SB40BP10EO10
"29062","+255760,63+584562,11",SUP,R,"65","4","10",RX50RZ30FN10FX10
"29063","+255761,76+580513,89",SUP,R,"75","17",VIN,SB60EB20BP20
"29064","+255763,31+567931,73",SUP,MR,"45","13",JIN,SB40EB20BP20EO10FN10
"29065","+255763,54+570759,96",SUP,MR,"55","9","30",SB60EB10BP20FN10
"29066","+255767,67+579788,68",SUP,MR,"65","6","10",RX30RZ30FX40
"29067","+255771,05+584437,86",SUP,MF,"75","6","10",FX60FN10RX30
"29068","+255776,19+574306,21",SUP,MR,,"2","10",RZFX
"29069","+255777,16+563298,99",SUP,R,"65","17",VIN,SB50EB30BP20
"29070","+255778,81+575093,47",SUP,MF,"75","6","10",FX60FN10RX30
"29071","+255780,39+564239,99",SUP,R,"45","15","120",EN90SB10
"29072","+255783,31+582752,08",SUP,R,"85","17","70",SB50EB30BP10PE10
"29073","+255784,53+566973,84",SUP,R,,"2","10",RZ
"29074","+255785,18+582614,49",SUP,F,"75","5","10",FX70FN10RX20
"29075","+255785,66+581473,58",SUP,MF,"65","13",JIN,BP40EO10FN10PE10SB20EB10
"29076","+255787,46+569834,29",SUP,MF,"75","5","30",FX60FN10RX30
"29077","+255788,10+571208,74",SUP,R,"85","18","90",SB70EB20BP10
"29078","+255792,17+572050,74",SUP,MM,"85","13","50",SB40EB10BP40FN10
"29079","+255792,75+573709,92",SUP,R,"85","16","70",SB70EB20BP10
"29080","+255794,31+564068,56",SUP,R,"65","15",VIN,SB60EN40
"29081","+255805,06+580795,44",SUP,R,"85","17","70",SB60EB30BP10
"29082","+255813,68+583962,14",SUP,MR,"85","16","70",SB40EB30BP20EO10
"29083","+255826,21+577279,31",SUP,MR,,"1","10",RZFN
"29084","+255833,78+564792,90",SUP,R,"55","6","30",RX90FN10
"29085","+255835,53+568783,37",SUP,R,"75","13","50",SB70EB20BP10
"29086","+255837,62+570405,02",SUP,MR,"65","9","30",SB40EB20BP20EO10FN10
"29087","+255838,15+568252,69",SUP,R,"75","13",JIN,SB50EB30BP10EO10
"29088","+255840,35+569367,82",SUP,R,"75","17",VIN,SB70EB20BP10
