fid,geoc_maj,etage,ty_couv_et,densite,hauteur,cl_age_et,eta_ess_pc
"1","+100003,38+445067,43",SUP,R,"75","20","70",SB50EB40FI10
"2","+100005,45+442544,51",SUP,MR,"75","17",JIN,SB40EB30ES20FI10
"3","+100009,38+441472,37",SUP,MM,"85","6","10",RX50FX40FN10
"4","+100012,48+436247,87",SUP,R,"85","15","30",EB70SB10EO10FI10
"5","+100016,87+438404,59",SUP,R,"85","9","30",EB70SB10EO10FI10
"6","+100019,18+443288,42",SUP,F,"85","20","70",ES60EO10FI10EB10SB10
"7","+100022,34+444400,05",SUP,MF,"75","20","50",PE30EO20BP10EB20SB20
"8","+100026,67+437062,72",SUP,F,"95","20","90",ES80BJ20
"9","+100044,22+440813,44",SUP,MF,"75","20","90",PE30ES20BP10EB20SB20
"10","+100048,04+443922,42",SUP,F,"85","12","30",PE40BP20EO20EB10SB10
"11","+100062,07+439570,80",SUP,F,"85","5","10",FX80FN10RX10
"12","+100076,70+444875,32",SUP,F,"85","19","70",EO30PE30BP20EB10SB10
"13","+100082,47+435092,99",SUP,F,"75","20",VIN,BJ50ES40RX10
"14","+100088,14+435780,97",SUP,MR,"75","15","30",EB70PE20EO10
"15","+100090,06+441236,69",SUP,MR,"85","12","30",EB30SB30PE20BP10EO10
"16","+100095,31+436927,00",SUP,F,"75","23","90",PE50BP20EO20SE10
"17","+100100,89+440956,33",SUP,F,"85","18",JIN,ES60BJ30SE10
"18","+100106,20+445451,44",SUP,F,"65","18",JIN,ES40EO30BJ20FI10
"19","+100107,36+438107,45",SUP,F,"75","20",JIN,ES70BJ30
"20","+100107,66+436099,74",SUP,F,"95","21","90",BP50ES30BJ20
"21","+100117,68+436271,43",SUP,F,"65","20","90",BP30EO30PE20EB10SB10
"22","+100122,23+437780,83",SUP,F,"85","20","90",ES80BJ20
"23","+100153,66+443205,17",SUP,R,"85","18","50",EB80SB20
"24","+100155,76+444209,36",SUP,MF,"75","20","50",PE30EO20BP10EB20SB20
"25","+100160,89+439922,02",SUP,F,"75","18","90",EO50PE30BP10SE10
"26","+100176,72+438713,98",SUP,F,"85","21","30",PE100
"27","+100185,70+441622,75",SUP,MM,"75","7","10",SB30EB20PE20BP10EO10FN10
"28","+100208,58+436602,21",SUP,F,"75","25","90",PE90BP10
"29","+100211,63+434561,42",SUP,F,"75","19",JIN,ES30BJ20EO20FI10EB10SB10
"30","+100224,22+441445,57",SUP,F,"85","19","90",ES80BJ20
"31","+100227,94+443035,84",SUP,R,"65","15","50",EB60SB30FI10
"32","+100241,29+444210,78",SUP,R,"75","18","50",EB80SB20
"33","+100242,95+440961,27",SUP,F,"95","18","90",ES70BJ20EO10
"34","+100243,43+445288,96",SUP,MR,"65","15","30",SB50EB10PE20BP10EO10
"35","+100246,55+444155,38",SUP,R,"75","18","50",EB80SB20
"36","+100250,61+441856,39",SUP,R,"65","10","10",EB70SB30
"37","+100265,35+439262,72",SUP,MF,"65","19",VIN,PE50BP10EB20SB20
"38","+100271,55+442808,08",SUP,F,"65","17","70",ES40EO20PE20BJ10SE10
"39","+100275,82+444768,29",SUP,MR,"85","12","30",EN40SB20BP20EO10PE10
"40","+100277,05+438164,15",SUP,F,"75","18",JIN,BJ40ES30FI10EB10SB10
"41","+100284,75+443812,99",SUP,MR,"35","8","10",EB50SB10BP20FN10PE10
"42","+100288,49+440267,69",SUP,R,"85","17","50",EB70SB20FI10
"43","+100293,75+436132,32",SUP,MF,"85","15","30",PE30EO20BP10EB30SB10
"44","+100299,91+444097,27",SUP,R,"75","18","50",EB80SB20
"45","+100309,62+433713,90",SUP,MF,"75","18",VIN,BJ30BP20PE10SB30RX10
"46","+100330,22+439841,84",SUP,MF,"75","22","90",PE50BP20EB20SB10
"47","+100346,17+441291,35",SUP,F,"65","17",JIN,EO50ES30FI10SE10
"48","+100354,75+435181,23",SUP,F,"85","21","90",ES80BJ20
"49","+100361,49+441501,84",SUP,R,"75","13","30",EB60SB30FI10
"50","+100366,63+434107,38",INF,MM,"65","18","70",SB30EB20BJ20BP20ER10
"51","+100366,63+434107,38",SUP,R,"35","24","90",PB100
"52","+100376,33+435546,82",SUP,F,"75","21",VIN,ES70BJ30
"53","+100384,48+433985,57",SUP,MR,"75","18",JIN,SB50RX10EO30FI10
"54","+100384,60+437179,33",SUP,F,"65","20",JIN,ES80BJ20
"55","+100400,39+438681,60",SUP,F,"95","7","30",PE90FX10
"56","+100409,17+445762,30",SUP,F,"35","19","70",ES60EO30BP10
"57","+100420,03+444205,43",SUP,R,"75","18","50",EB80SB20
"58","+100422,63+436227,98",SUP,R,"75","15","30",EB70SB10BP10FX10
"59","+100434,89+433888,42",SUP,F,"85","21","90",PE80BP10EO10
"60","+100438,60+436473,33",SUP,F,"65","20","90",BP30EO30PE20EB10SB10
"61","+100444,36+443988,32",SUP,R,"85","17","50",EB70SB20FI10
"62","+100451,96+435855,49",SUP,MR,"75","10","30",EN60SE10BP20PE10
"63","+100457,88+440795,90",SUP,F,"95","20","90",ES90BJ10
"64","+100470,23+439969,93",SUP,MF,"75","22","90",PE50BP20EB20SB10
"65","+100503,62+438286,46",SUP,F,"65","21","90",PE40BJ20BP20EB10SB10
"66","+100519,34+434379,60",SUP,MR,"75","18",JIN,SB50RX10EO30FI10
"67","+100520,00+441024,35",SUP,F,"85","19","90",ES80BJ10EO10
"68","+100529,54+439642,30",SUP,MF,"75","22","90",PE50BP20EB20SB10
"69","+100545,68+445047,41",SUP,MF,"75","21","70",PE40BP10EO10EB20SB20
"70","+100548,37+436658,32",SUP,MF,"65","21","90",BP30BJ20EO10PE10SB20EB10
"71","+100549,17+439233,55",SUP,R,"65","19",VIN,SB60EB30FI10
"72","+100554,51+442894,48",SUP,R,"75","16","50",EB100
"73","+100569,97+437231,87",SUP,F,"75","20",JIN,ES40BJ20EO20EB10SB10
"74","+100572,27+444062,16",SUP,R,"85","17","50",EB70SB20FI10
"75","+100581,47+433761,46",SUP,F,"85","19","90",PE50BP20EO20SE10
"76","+100594,24+437912,00",SUP,F,"75","18",JIN,ES40BJ30FI10EB10SB10
"77","+100595,90+445511,25",INF,F,"75","13","50",PE70EO20RX10
"78","+100595,90+445511,25",SUP,F,"35","18","70",EO80EB10SB10
"79","+100601,64+434979,70",SUP,F,"75","21",VIN,ES70BJ30
"80","+100602,72+442997,73",SUP,R,"65","20","70",EB70SB20FI10
"81","+100603,36+439519,64",SUP,F,"85","21","90",PE50BP20ER10EB10SB10
